Genadiy Maloletkin | 1963 | ? | ? | not found (ЮМШ Leningrad, per school-history article, but this refers to a math club, not a school) | not found | none | https://cyberleninka.ru/article/n/ob-istorii-matematicheskih-olimpiad-v-leningrade-sankt-peterburge
Rafael Sarkisyan | 1963 | 1946 (plausible) | Armenia (plausible, unconfirmed) | not found | Likely Rafael Artashesovich Sarkisyan, doctor of physical-mathematical sciences, worked in algebra/algorithmic questions for linear algebraic groups and probability theory (Financial Academy under RF Government); name/birth-year fit is plausible but not verified as the same person | low | https://ru.hayazg.info/Саркисян_Рафаэль_Арташесович
Aleksei Tolpygo | 1963 | 1947 (born in Kyiv, per his own interview) | Kyiv, Ukrainian SSR | not found | Ukrainian/Soviet mathematician (PhD 1974, Moscow State University); became a well-known olympiad organizer and problem composer, co-author with G. Galperin of "Московские математические олимпиады" and compiler of "Тысяча задач Турнира городов" | high | https://7i.7iskusstv.com/y2021/nomer10/demidovich/
Anatoli Zaicev | 1963 | ? | ? | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Vladimir Fishman | 1963 | ~1944-1945 (plausible, based on death age) | ? | not found | Possibly Vladimir Mikhailovich Fishman, candidate of physical-mathematical sciences, Moscow State University mech-math graduate, worked 20+ years in computational geophysics at the USSR Academy of Sciences Institute of Physics of the Earth, co-creator of the seismology τ(p)-method; died 1989 at ~44-45. Match to IMO participant is plausible by name/timeline but not directly confirmed | low | https://www.itpz-ran.ru/ru/institut/history/fishman/
Anatoly Zvaignicev | 1963 | ? | ? | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Sergei Smirnov | 1963 | ? | ? | not found | not found (too common a name; no confirmed match found) | none | https://www.imo-official.org/results/individual/country/USS/
Kiril Andreev | 1963 | ? | ? | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
David Bernstein | 1964 | ? | ? | not found | not found (distinct from Joseph/Iosif Bernstein, gold medalist of IMO 1962, who is a different, well-documented person; no record found of a separate "David Bernstein" mathematician) | none | https://www.imo-official.org/participant_r.aspx?id=9906 ; https://en.wikipedia.org/wiki/Joseph_Bernstein
Genadiy Arhipov | 1964 | December 12, 1945 | Yelets, Lipetsk Oblast, RSFSR (considered Orel his hometown) | School No. 24 in Orel (1953-1963), then Specialized Boarding School No. 18 (Moscow, first class 1963-1964) | Prominent number theorist; PhD 1975 and doctorate 1984 at Steklov Mathematical Institute under A. Karatsuba/I. Vinogradov's tradition; solved problems on multiple trigonometric sums and the Hilbert-Kamke problem; 1992 Markov Prize of Russian Academy of Sciences; professor at MSU, co-author of widely used "Лекции по математическому анализу" textbook; died 2013 | high | https://cyberleninka.ru/article/n/spetsializirovannaya-shkola-internat-18-fizikomatematicheskogo-profilya-vypusk-pervyy-1963-1964-g-na-puti-k-matematike-arhipov-gennadiy
Yuri Matiashevich | 1964 | March 2, 1947 | Leningrad, USSR | Leningrad School No. 255, then Physics-Math School No. 239 (Leningrad, 1962-1963), then Moscow boarding school No. 18 (1963-1964) | Confirmed as Yuri Vladimirovich Matiyasevich, the famous mathematician who in 1970 completed the negative solution of Hilbert's 10th Problem; academician of the Russian Academy of Sciences (2008); works at St. Petersburg Steklov Institute (POMI); president of St. Petersburg Mathematical Society | high | https://ru.wikipedia.org/wiki/Матиясевич,_Юрий_Владимирович
Valeriy Alekseev | 1964 | ? | ? | Physics-Math boarding school No. 18, Moscow (first class, graduated 1964) | Valeriy Borisovich Alekseev, mathematician specializing in mathematical cybernetics/discrete function theory; PhD 1972 MSU; long-time professor and department head at MSU's Faculty of Computational Mathematics and Cybernetics (VMK); Lomonosov Prize for teaching (2004); Honored Professor of Moscow University (2007) | high | https://ru.wikipedia.org/wiki/Алексеев,_Валерий_Борисович ; http://www.vipschool.ru/oneperson.php?personnumber=334
Boris Ivlev | 1964 | June 20, 1946 | Grodno, Grodno Oblast, BSSR | Physics-Math School No. 18, Moscow (first class, 1963-1964) | Boris Mikhailovich Ivlev, Soviet mathematician/pedagogue; studied at MSU mech-math under V.I. Arnold; taught at School No. 18 until 1990; author/co-author (with Kolmogorov, Abramov, Shvartsburd) of the widely-used Soviet/Russian textbook "Алгебра и начала анализа" for grades 10-11; wrote for "Квант" magazine; died 1990 in Chernogolovka | high | https://ru.wikipedia.org/wiki/Ивлев,_Борис_Михайлович
Aleksander Vilenkin | 1964 | ? | ? | not found | Cannot confirm link to physicist/cosmologist Alexander Vladimirovich Vilenkin (born May 13, 1949, Kharkiv, Tufts University, cosmic strings/quantum cosmology theorist). His documented birth year (1949) would make him only 15 in 1964, and no source connects him to an IMO or any mathematical olympiad — his known biography centers on Kharkiv University physics studies from the late 1960s. Treating this as a distinct, unconfirmed person | low | https://en.wikipedia.org/wiki/Alexander_Vilenkin
Aleksander Florensov | 1964 | ? | ? | not found | not found | none | https://www.imo-official.org/results/individual/country/USS/
Iliya Rips | 1964 | December 12, 1948 | Riga, Latvian SSR | Riga School No. 23 (now Lomonosov Gymnasium) | Confirmed as Ilya (Eliyahu) Aronovich Rips: first Latvian schoolboy to compete in IMO; entered Latvian State University at 15-16 without exams; became a leading figure in geometric group theory (R-trees, "Rips machine"); 1969 self-immolation protest against the Soviet invasion of Czechoslovakia, imprisoned, later emigrated to Israel (1972); professor at Hebrew University of Jerusalem; later controversial for the "Bible Code" (Statistical Science, 1994); died July 19, 2024, in Jerusalem | high | https://ru.wikipedia.org/wiki/Рипс,_Илья_Аронович
Pavel Bleher | 1965 | 1947 | not found | not found | Mathematical physicist; PhD under Ya. Sinai (Keldysh Institute, 1974); professor (now Chancellor's Professor Emeritus) at Indiana University Indianapolis (IUPUI); works on random matrix theory, orthogonal polynomials, Ising model, statistical mechanics. | high | https://science.indianapolis.iu.edu/people-directory/people/bleher-pavel.html ; https://alliance.iu.edu/members/member/1856.html ; https://www.imo-official.org/participant_r.aspx?id=9949
Sergei Valander | 1965 | not found | not found | not found | not found (a "С.С. Валандер" published a 1973 probability-theory paper in "Теория вероятностей и её применение" — possibly the same person, but not confirmed) | low | https://www.imo-official.org/results/individual/country/USS/
